Paris
London
Samarkand
Tokyo
Gansu
Yunnan
Dunhuang
A cave deep underground
Ice floes
Polar routes
Trade winds across the atlantic
Shanghai
Beijing
Roman's kitchen
A park in Beijing
a minsu in dunhuang
Meigu
Guangxi
Near tibet
Shangri-la
the silk road
the taklamakan desert
Turpan
Xinjiang
a mound of tall grass
Inner mongolia
Wuwei, Gansu, China
mars park
a bed in south london
the music school across the road
an all girls liberal arts college in new england
colorado
Thailand
a rotating restaurant over beijing
tiananmen square
an ancient observatory
buried deep in a rug
taipei
mauritania
phuket
venice
Los Angeles
a farm, southern france
