"beautiful star"
"samarkand"
"the origin of language"
"the wind-up bird chronicles"
"bluets"
"the dawn of everything"
"the art of not being governed"
"the bicameral mind"
"technic and magic"
"algiers"
"terminal boredom"
"paradise rot"
"oval"
"solaris"
"crash"
"the dispossessed"
"leave society"
"cronopios and famas"
